17559,48,5
36388,214,5
21759,25,5
22014,220,5
39071,60,5
19977,13,5
8748,26,5
13099,126,4
15934,60,5
12764,109,5
12548,26,5
40761,25,5
37949,36,5
21296,219,5
31422,226,5
37517,60,5
29508,13,5
41117,25,5
10619,25,5
46061,25,5
22062,25,5
15049,66,5
44477,61,2
35502,211,5
36534,249,5
34501,219,5
48114,159,5
7986,26,5
46536,159,5
45727,25,5
25000,110,5
42653,159,5
14565,59,5
18142,245,5
34447,48,5
47468,25,5
37388,247,5
24183,180,5
40967,249,5
3983,159,5
30089,26,5
9046,163,5
11316,136,5
42574,163,4
13526,25,5
9964,23,5
10249,196,5
13445,136,5
47127,172,5
30089,238,5
37400,238,5
39601,26,5
12029,25,5
37938,103,5
112,164,5
46853,154,5
36088,36,5
39486,238,5
25932,196,5
15181,122,5
35502,138,5
45850,134,5
14863,172,5
36895,25,5
15049,60,5
37988,3,5
25000,110,5
41222,36,5
39846,249,1
40392,247,5
24950,167,5
10813,93,5
22062,244,5
41276,61,5
42103,109,5
10269,110,5
27269,23,5
12234,242,5
45699,110,5
45765,110,5
4437,46,5
40879,25,5
8162,165,5
46510,242,5
41561,234,5
43897,172,5
22062,244,5
43800,28,5
3304,197,5
44704,89,5
22014,242,5
35728,242,5
113,122,5
39920,159,4
41462,239,5
9297,165,5
11316,154,5
28062,249,5
40094,251,5
5701,234,5
13640,36,5
9242,239,3
5261,242,5
30089,177,5
45166,176,5
37341,64,5
2824,122,5
3499,2,5
26974,122,5
44074,170,3
12150,15,5
45727,23,5
32167,23,5
45421,163,5
42150,36,5
16955,189,5
12854,159,5
9304,58,5
12702,251,5
43997,121,5
31187,25,5
18142,25,5
34390,1,5
40678,219,5
29874,28,5
40502,36,5
13295,121,5
7605,93,5
3933,234,5
37938,25,5
44958,179,5
8150,15,5
44068,93,5
15934,23,5
40684,60,5
39164,23,5
8019,25,4
37632,127,5
46798,160,5
41439,61,3
112,122,5
27912,238,5
29958,64,5
21962,61,5
17194,12,5
41222,89,5
9297,64,5
6804,122,5
42255,205,5
30241,197,5
46398,36,5
37859,26,3
45166,145,5
45166,168,5
45380,177,5
113,161,5
21339,26,5
23302,25,5
29328,109,5
37877,234,5
41248,23,3
47537,163,4
28824,26,5
4874,25,5
45727,26,5
27203,82,5
12491,23,5
36088,14,5
14159,2,1
33507,220,5
31751,159,1
37938,2,5
47278,64,5
15049,205,5
12578,122,5
13445,136,5
42775,121,5
7605,165,5
29852,36,5
3446,237,5
3446,237,5
22014,81,5
13333,81,5
30089,64,5
47568,61,5
27269,249,5
22014,81,5
22014,81,5
16291,64,4
39601,205,5
45493,25,5
71,110,5
38920,156,5
11567,159,5
14863,81,5
40367,215,5
34495,183,5
35728,197,3
12234,197,5
27684,28,5
47574,181,5
45166,145,5
8748,172,5
12715,36,5
10837,126,5
35240,12,5
29424,199,5
17194,12,5
45710,172,5
2935,216,5
30180,28,5
34358,25,5
34358,238,5
9588,196,5
46751,122,5
29495,238,5
37949,89,5
33612,26,5
